year	admin2_km2	admin4_km2
-2550	3696963	1567
-2540	3696963	1567
-2530	3696963	1567
-2520	3696963	1567
-2510	3696963	1567
-2500	3696963	1567
-2490	3511593	1567
-2480	3511593	1567
-2470	3511593	1567
-2460	3511593	1567
-2450	3511593	1567
-2440	3511593	1567
-2430	3511593	1567
-2420	3511593	1567
-2410	3511593	1567
-2400	3511593	1567
-2390	3511593	1567
-2380	3511593	1567
-2370	3511593	1567
-2360	3511593	1567
-2350	3511593	1567
-2340	3511593	1567
-2330	3511593	1567
-2320	3511593	1567
-2310	3511593	1567
-2300	3511593	1567
-2290	3501295	1567
-2280	3501295	1567
-2270	3501295	1567
-2260	3501295	1567
-2250	3501295	1567
-2240	3501295	1567
-2230	3501295	1567
-2220	3501295	1567
-2210	3501295	1567
-2200	3501295	1567
-2190	3501295	1567
-2180	3498999	1567
-2170	3498999	1567
-2160	3498999	1567
-2150	3498999	1567
-2140	3498999	1567
-2130	3498999	1567
-2120	3498999	1567
-2110	3498999	1567
-2100	3498999	1567
-2090	3498999	1567
-2080	3498999	1567
-2070	3498999	1567
-2060	3498999	1567
-2050	3455104	1567
-2040	3455104	1567
-2030	3455104	1567
-2020	3455104	1567
-2010	3455104	1567
-2000	3455104	1567
-1990	1217146	1567
-1980	1217146	1567
-1970	1217146	1567
-1960	1217146	1567
-1950	1217146	1567
-1940	1217146	1567
-1930	1217146	1567
-1920	1217146	1567
-1910	1217146	1567
-1900	1217146	1567
-1890	277463	1567
-1880	277463	1567
-1870	286057	1567
-1860	286057	1567
-1850	286057	1567
-1840	286057	1567
-1830	286057	1567
-1820	286057	1567
-1810	286057	1567
-1800	286057	1567
-1790	317878	1567
-1780	317878	1567
-1770	317878	1567
-1760	277463	1567
-1750	277463	1567
-1740	277463	1567
-1730	277463	1567
-1720	277463	1567
-1710	277463	1567
-1700	277463	1567
-1690	387575	1567
-1680	387575	1567
-1670	387575	1567
-1660	387575	1567
-1650	387575	1567
-1640	565636	1567
-1630	565636	1567
-1620	565636	1567
-1610	565636	1567
-1600	1022068	1567
-1590	1077313	1567
-1580	1077313	1567
-1570	1077313	1567
-1560	1077313	1567
-1550	1077313	1567
-1540	1077313	1567
-1530	1077313	1567
-1520	1077313	1567
-1510	1077313	1567
-1500	1077313	1567
-1490	899253	1567
-1480	899253	1567
-1470	899253	1567
-1460	899253	1567
-1450	899253	1567
-1440	890967	1567
-1430	890967	1567
-1420	890967	1567
-1410	890967	1567
-1400	890967	1567
-1390	890967	1567
-1380	890967	1567
-1370	890967	1567
-1360	890967	1567
-1350	890967	1567
-1340	942849	1567
-1330	942849	1567
-1320	942849	1567
-1310	942849	1567
-1300	942849	1567
-1290	846099	1567
-1280	846099	1567
-1270	846099	1567
-1260	846099	1567
-1250	780855	1567
-1240	780855	1567
-1230	780855	1567
-1220	780855	1567
-1210	780855	1567
-1200	1031808	1567
-1190	990828	1567
-1180	990828	1567
-1170	990828	1567
-1160	990828	1567
-1150	990828	1567
-1140	990828	1567
-1130	990828	1567
-1120	990828	1567
-1110	976562	1567
-1100	976562	1567
-1090	1520872	1567
-1080	1520872	1567
-1070	1520872	1567
-1060	1520872	1567
-1050	1523257	1567
-1040	1033901	1567
-1030	1033901	1567
-1020	1033901	1567
-1010	1033901	1567
-1000	1023206	1567
-990	1023206	1567
-980	1023206	1567
-970	1023206	1567
-960	870857	1567
-950	870857	1567
-940	870857	1567
-930	870857	1567
-920	870857	1567
-910	870857	1567
-900	879470	1567
-890	879470	1567
-880	879470	1567
-870	879470	1567
-860	865204	1567
-850	1075387	1567
-840	1075387	1567
-830	1075387	1567
-820	1075387	1567
-810	1111440	1567
-800	1111440	1567
-790	1111440	1567
-780	1084861	1567
-770	774979	1567
-760	774979	1567
-750	775003	1567
-740	834695	1567
-730	564821	1567
-720	564821	1567
-710	564821	1567
-700	776004	1567
-690	783473	1567
-680	783473	1567
-670	783473	1567
-660	783473	1567
-650	783473	1567
-640	783473	1567
-630	797785	1567
-620	797785	1567
-610	797785	1567
-600	976477	1567
-590	976477	1567
-580	976477	1567
-570	976477	1567
-560	976477	1567
-550	976477	1567
-540	976477	1567
-530	976477	9524
-520	962211	9524
-510	813462	9524
-500	849938	47943
-490	849938	47943
-480	992747	47943
-470	992747	47943
-460	992747	47943
-450	992747	47943
-440	992747	47943
-430	992747	47943
-420	992747	47943
-410	992747	47943
-400	1210573	65094
-390	1210573	64948
-380	1210573	64948
-370	1201960	64948
-360	1201960	64948
-350	1203153	64948
-340	1203153	64948
-330	1213883	64948
-320	1213883	64948
-310	1213883	64948
-300	1276017	64948
-290	1323706	64948
-280	1419144	64948
-270	1464030	64948
-260	1496681	64948
-250	1496681	64948
-240	3538057	66131
-230	3578874	52315
-220	3578874	52315
-210	3881448	336708
-200	4248727	32759
-190	4034002	81443
-180	4034002	81443
-170	4034002	81443
-160	4034002	81443
-150	4193792	640783
-140	3589830	870919
-130	3589830	870919
-120	3670911	951450
-110	3857419	951450
-100	7860206	1054495
-90	7954960	1054495
-80	8346301	1054481
-70	8322102	1030296
-60	7862029	1279769
-50	8462183	1279769
-40	8462183	1279769
-30	8981797	1279769
-20	10085598	2564979
-10	10506744	2694747
0	10506744	2694747
10	6561676	2986093
